district,population
Taplejung,127461
Panchthar,191817
Ilam,290254
Jhapa,812650
Morang,965370
Sunsari,763487
Dhankuta,163412
Terhathum,101577
Sankhuwasabha,158742
Bhojpur,182459
Solukhumbu,105886
Khotang,206312
Okhaldhunga,147984
Udayapur,317532
Saptari,639284
Siraha,637328
Dhanusha,754777
Mahottari,627580
Sarlahi,769729
Sindhuli,296192
Ramechhap,202646
Dolakha,186557
Sindhupalchok,287798
Kabhrepalanchok,381937
Lalitpur,468132
Bhaktapur,304651
Kathmandu,1744240
Nuwakot,277471
Rasuwa,43300
Dhading,336067
Makwanpur,420477
Rautahat,686722
Bara,687708
Parsa,601017
Chitawan,579984
Gorkha,271061
Lamjung,167724
Manang,6538
Kaski,492098
Tanahu,323288
Syangja,289148
Parbat,146590
Baglung,268613
Myagdi,113641
Mustang,13452
Palpa,261180
Nawalparasi_E,311604
Nawalparasi_W,311904
Rupandehi,880196
Kapilbastu,571936
Arghakhanchi,197632
Gulmi,280160
Rukum_W,154272
Rukum_E,53018
Salyan,242444
Rolpa,224506
Pyuthan,228102
Dang,552583
Banke,491313
Bardiya,426576
Surkhet,350804
Jajarkot,171304
Dailekh,261770
Dolpa,36700
Jumla,108921
Kalikot,136948
Mugu,55286
Humla,50858
Bajhang,195159
Bajura,134912
Achham,257477
Doti,211746
Kailali,775709
Kanchanpur,451248
Dadeldhura,142094
Baitadi,250898
Darchula,133274
